ITEM,TITLE_SKU,MFGSKU,PRODTYPE,CATEGORY,SUB_CATEGORY
736202,737798,EXMPI550000-GOV,G-L,Utilities,desktop enhancements
749146,987103,16630,N-L,Business applications,databases / database tools
818746,A17203,NSS100,E-L,Education application,learning management
UG6639,396012,210-AENO,N,Systems,Desktops
959017,191366,HYE005,N-L,Utilities,hardware & software optimizing
UG6640,Y25840,500213-001,N-L,Software,Applications
A96278,980398,SCRT-0009-0500,N-L,Networking applications,remote access / login control
B34296,A30269,SCTB-0071-0500,N-LSA,Networking applications,remote access / login control
B34298,184901,SFXX-0066-0002,N-LSA,Security applications,data encryption
B44225,B44113,NSP0100,E-L,Education application,other
B63025,B54559,SJNT,N-SA,Software,Software Service & Support
B70307,B55803,EBSYCM-AM-DA,N-SA,Software,Software Service & Support
B84449,951461,60872,N-L,Development tools,RAD suites
C09218,B25673,22001,N,Office applications,projects / process
C09221,A29576,14005,N-L,Office applications,projects / process
C57812,B39043,PIX-515E-UR-BUN,N,Networking,Network Devices
C44872,B33222,MPPD050,N-SA,Utilities,other
C62981,B77841,623-MNT-E-US,N-SA,Software,Software Service & Support
C60445,204703,AT-FS724I-10,N,Networking,Hubs & Switches
C74486,B77306,317221,N-SA,Development tools,team tools
C99021,B44990,M884,N-SA,Utilities,document management
D19773,B96523,CPFW-FIG-25-NG,N-L,Security applications,desktop firewall
D19785,B96544,CPFW-FM-U-NG,N-L,Security applications,remote access / login control
D18544,A70443,436-MNT-E-US,N-SA,Software,Software Service & Support
D35391,B97635,10010723S,N-SA,Creativity application,web design / publishing
D31312,C01928,RBC7,N,Systems,UPS & Power Devices
D70767,214866,DSP-400,N,Audio,Headsets & Microphones
D80723,C23768,10070021S,E-SA,Creativity application,web design / publishing
D86727,C25191,EXMPI550101MD,N-SA,Networking applications,connectivity & data sharing
D89229,C26356,SLW00400,N-L,Internet & communication applications,internet utilities
D88675,C29093,LAMAINT,N-SA,Networking applications,system & remote management
